system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,ADM2_CODE,ADM2_NAME,DISP_AREA,EXP2_YEAR,NDVI,Rainfall,STATUS,STR2_YEAR,Shape_Area,Shape_Leng,Soil_pH,.geo,Season,ADM2_NAME_clean,dominant_crop
000200000000000002a9,115,India,1508,Tamil Nadu,17868,Dharmapuri,NO,3000,0.544088888888889,0.296000011265278,Member State,1000,0.801691618541,5.99082012902,67,"{""type"":""Point"",""coordinates"":[78.09761619511256,12.295488306780657]}",Rabi,dharmapuri,MAIZE
000200000000000002aa,115,India,1508,Tamil Nadu,17869,Virudhunagar,NO,3000,0.5838,0.843000046676025,Member State,1000,0.35316306795,4.51460960926,74,"{""type"":""Point"",""coordinates"":[77.89432175350126,9.480618900781991]}",Rabi,virudhunagar,GROUNDNUT
000200000000000002ab,115,India,1508,Tamil Nadu,17870,Kanniyakumari,NO,3000,0.714988888888889,1.28900008555502,Member State,1000,0.130661789069,2.1294837608,59,"{""type"":""Point"",""coordinates"":[77.34637019260624,8.305972569456024]}",Rabi,kanniyakumari,COCONUT
000200000000000002ac,115,India,1508,Tamil Nadu,17873,Nilgiris,NO,3000,0.668411111111111,0.577000028919429,Member State,1000,0.210944084628,2.81492255959,59,"{""type"":""Point"",""coordinates"":[76.63283590199896,11.448396149550584]}",Rabi,nilgiris,TEA_COFFEE
000200000000000002ad,115,India,1508,Tamil Nadu,17875,Erode,NO,3000,0.516111111111111,0.494000025093555,Member State,1000,0.677012368805,7.07470994419,75,"{""type"":""Point"",""coordinates"":[77.44716714204291,11.319053813623576]}",Rabi,erode,MAIZE
000200000000000002ae,115,India,1508,Tamil Nadu,17876,Pudukkottai,NO,3000,0.507155555555556,0.679000042378902,Member State,1000,0.387176357264,5.35607983488,73,"{""type"":""Point"",""coordinates"":[78.86672971170155,10.341973123520777]}",Rabi,pudukkottai,PADDY
000200000000000002af,115,India,1508,Tamil Nadu,17877,Dindigul,NO,3000,0.7149,0.661000048625283,Member State,1000,0.500039771098,5.26896936269,64,"{""type"":""Point"",""coordinates"":[77.80497188066614,10.37928108469608]}",Rabi,dindigul,PULSES
000200000000000002b0,115,India,1508,Tamil Nadu,17878,Ramanathapuram,NO,3000,0.608655555555556,0.911000031745061,Member State,1000,0.350762859417,6.4693550538,73,"{""type"":""Point"",""coordinates"":[78.67987474196862,9.442707317145416]}",Rabi,ramanathapuram,COTTON
000200000000000002b1,115,India,1508,Tamil Nadu,17879,Salem,NO,3000,0.460944444444444,0.372000010684133,Member State,1997,0.431988831013,5.78292693653,67,"{""type"":""Point"",""coordinates"":[78.20926614926434,11.663196865946146]}",Rabi,salem,GROUNDNUT
000200000000000002b2,115,India,1508,Tamil Nadu,17881,Thanjavur,NO,3000,0.547622222222222,0.803000040352345,Member State,1997,0.280270022706,5.24109463304,70,"{""type"":""Point"",""coordinates"":[79.22358692494085,10.65500919913554]}",Rabi,thanjavur,PADDY
000200000000000002b3,115,India,1508,Tamil Nadu,17882,Sivaganga,NO,3000,0.633611111111111,0.682000018656254,Member State,1000,0.335222973702,5.63595606671,70,"{""type"":""Point"",""coordinates"":[78.5759340462308,9.906949469028845]}",Rabi,sivaganga,GROUNDNUT
000200000000000002b4,115,India,1508,Tamil Nadu,17883,Tiruchchirappalli,NO,3000,0.6225,0.45200002938509,Member State,1996,0.372450946903,6.67181759369,72,"{""type"":""Point"",""coordinates"":[78.55481341082601,10.876525194341076]}",Rabi,tiruchirappalli,PADDY
000200000000000002b5,115,India,1508,Tamil Nadu,17884,Tirunelveli Kattabo,NO,3000,0.531077777777778,1.10800005402416,Member State,1000,0.556597310014,5.40853619253,66,"{""type"":""Point"",""coordinates"":[77.52329859119448,8.78972333344816]}",Rabi,tirunelveli,PADDY
000200000000000002b6,115,India,1508,Tamil Nadu,70241,Ariyalur,NO,3000,0.560233333333333,0.703000046312809,Member State,2000,0.161429227865,2.24030841617,70,"{""type"":""Point"",""coordinates"":[79.22812763262219,11.14668989832722]}",Rabi,ariyalur,PADDY
000200000000000002b7,115,India,1508,Tamil Nadu,70242,Chennai,NO,3000,0.238777777777778,1.17300004512072,Member State,1000,0.0163244843722,0.743297183114,,"{""type"":""Point"",""coordinates"":[80.23506504131059,13.047687347069402]}",Rabi,chennai,VEGETABLES
000200000000000002b8,115,India,1508,Tamil Nadu,70243,Cuddalore,NO,3000,0.322866666666667,0.734000042080879,Member State,1994,0.316479117442,4.04293793196,68,"{""type"":""Point"",""coordinates"":[79.44550010022122,11.525236799906601]}",Rabi,cuddalore,PADDY
000200000000000002b9,115,India,1508,Tamil Nadu,70244,Kancheepuram,NO,3000,0.572033333333333,0.878000047057867,Member State,1999,0.389010151794,3.92460831647,69,"{""type"":""Point"",""coordinates"":[79.93677979721936,12.68033399148968]}",Rabi,kancheepuram,PADDY
000200000000000002ba,115,India,1508,Tamil Nadu,70245,Karur,NO,3000,0.463777777777778,0.486000020056963,Member State,1996,0.238860504012,3.92636313878,73,"{""type"":""Point"",""coordinates"":[78.11840965817103,10.831814271415904]}",Rabi,karur,COTTON
000200000000000002bb,115,India,1508,Tamil Nadu,70246,Madurai,NO,3000,0.599222222222222,0.748000038671307,Member State,1997,0.304005356752,4.39035637272,76,"{""type"":""Point"",""coordinates"":[77.98944001482889,9.909980316717489]}",Rabi,madurai,PADDY
000200000000000002bc,115,India,1508,Tamil Nadu,70247,Nagapattinam,NO,3000,0.574144444444444,0.984000034630299,Member State,1997,0.406509471093,5.4647335396,67,"{""type"":""Point"",""coordinates"":[79.63338996271419,10.765238912787089]}",Rabi,nagapattinam,PADDY
000200000000000002bd,115,India,1508,Tamil Nadu,70248,Namakkal,NO,3000,0.543033333333333,0.436000026762486,Member State,1997,0.281601794604,3.49490094095,72,"{""type"":""Point"",""coordinates"":[78.12246659662145,11.305292265419643]}",Rabi,namakkal,GROUNDNUT
000200000000000002be,115,India,1508,Tamil Nadu,70249,Perambalur,NO,3000,0.5523,0.527000024914742,Member State,2000,0.145065756445,2.51442935519,73,"{""type"":""Point"",""coordinates"":[78.8777618615482,11.26046922156273]}",Rabi,perambalur,COTTON
000200000000000002bf,115,India,1508,Tamil Nadu,70250,Theni,NO,3000,0.581122222222222,0.821000022697262,Member State,1997,0.234535578002,2.88847241866,68,"{""type"":""Point"",""coordinates"":[77.4238789936379,9.880687566284006]}",Rabi,theni,VEGETABLES
000200000000000002c0,115,India,1508,Tamil Nadu,70251,Thiruvallur,NO,3000,0.584722222222222,0.904000047594309,Member State,1999,0.270349132277,5.26775872002,69,"{""type"":""Point"",""coordinates"":[79.92602574267039,13.230708639852937]}",Rabi,tiruvallur,PADDY
000200000000000002c1,115,India,1508,Tamil Nadu,70253,Tiruvannamalai,NO,3000,0.561788888888889,0.498000025749207,Member State,1990,0.514078546949,5.95693190757,70,"{""type"":""Point"",""coordinates"":[79.15420093894075,12.418635423355264]}",Rabi,tiruvannamalai,PADDY
000200000000000002c2,115,India,1508,Tamil Nadu,70254,Vellore,NO,3000,0.776755555555556,0.452000021934509,Member State,1990,0.50516866991,6.27451305635,65,"{""type"":""Point"",""coordinates"":[78.99775851803234,12.800712166390312]}",Rabi,vellore,GROUNDNUT
000200000000000002c3,115,India,1508,Tamil Nadu,70255,Villupuram,NO,3000,0.6441,0.601000033318996,Member State,1994,0.60588744979,6.63325505336,70,"{""type"":""Point"",""coordinates"":[79.28475680597683,11.960558090339307]}",Rabi,villupuram,GROUNDNUT
000200000000000002a7,115,India,1508,Tamil Nadu,17866,Thoothukudi,NO,3000,0.386216666666667,0.269000010564923,Member State,1000,0.389137645168,4.37489792079,77,"{""type"":""Point"",""coordinates"":[77.98874456091704,8.87610486845901]}",Zaid,thoothukudi,BANANA
000200000000000002a8,115,India,1508,Tamil Nadu,17867,Coimbatore,NO,3000,0.349933333333333,0.420000008773059,Member State,1000,0.612298710605,5.593131072,74,"{""type"":""Point"",""coordinates"":[77.07198582140016,10.836509495670988]}",Zaid,coimbatore,VEGETABLES
000200000000000002a9,115,India,1508,Tamil Nadu,17868,Dharmapuri,NO,3000,0.39745,0.242000018595718,Member State,1000,0.801691618541,5.99082012902,67,"{""type"":""Point"",""coordinates"":[78.09761619511256,12.295488306780657]}",Zaid,dharmapuri,MILLET
